epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.022,1.65473,3.18468,1.64333,0.4521,0.33049,0.32685,0.18953,1.42974,2.85902,1.26329,0.0667113,3.3322e-05,3.3322e-05
2,497.424,1.60876,2.61115,1.58578,0.54501,0.40254,0.41886,0.24877,1.34303,2.96877,1.20297,0.0334109,6.62154e-05,6.62154e-05
3,733.316,1.58739,2.43253,1.56552,0.55698,0.43639,0.45416,0.26734,1.3704,2.48367,1.20488,0.000109991,9.86688e-05,9.86688e-05
4,963.777,1.54824,2.32989,1.53671,0.55425,0.43241,0.45737,0.27023,1.31889,2.60233,1.18273,9.802e-05,9.802e-05,9.802e-05
5,1194.03,1.54596,2.27986,1.53106,0.53366,0.45082,0.46016,0.26873,1.36688,2.01582,1.20136,9.736e-05,9.736e-05,9.736e-05
6,1421.71,1.53574,2.20763,1.5225,0.55184,0.45303,0.46475,0.27382,1.34107,1.95521,1.19611,9.67e-05,9.67e-05,9.67e-05
7,1635,1.51877,2.17506,1.50909,0.52611,0.45674,0.46129,0.27503,1.36675,1.96619,1.19881,9.604e-05,9.604e-05,9.604e-05
8,1834.72,1.52562,2.15403,1.51129,0.53065,0.46147,0.45707,0.27458,1.34141,1.91712,1.17726,9.538e-05,9.538e-05,9.538e-05
9,2033.85,1.51558,2.123,1.50521,0.52846,0.48324,0.46709,0.27632,1.34842,1.91125,1.1843,9.472e-05,9.472e-05,9.472e-05
10,2236.87,1.50897,2.09908,1.4969,0.53128,0.46829,0.46459,0.27564,1.33553,1.63655,1.17491,9.406e-05,9.406e-05,9.406e-05
11,2471.8,1.49693,2.06872,1.49687,0.55621,0.46605,0.4799,0.27841,1.39296,1.70618,1.19989,9.34e-05,9.34e-05,9.34e-05
12,2701.31,1.49917,2.03826,1.48748,0.55876,0.4707,0.48591,0.29008,1.29088,1.85632,1.16122,9.274e-05,9.274e-05,9.274e-05
13,2930.62,1.48941,2.06078,1.4813,0.54762,0.48119,0.48167,0.28764,1.31353,1.67278,1.166,9.208e-05,9.208e-05,9.208e-05
14,3159.02,1.49055,2.02588,1.47645,0.53661,0.47803,0.47558,0.28465,1.3112,1.57548,1.1574,9.142e-05,9.142e-05,9.142e-05
15,3362.1,1.482,2.04253,1.47785,0.55705,0.46623,0.48455,0.29318,1.30238,1.57423,1.14905,9.076e-05,9.076e-05,9.076e-05
16,3563.43,1.46802,2.00377,1.46375,0.54489,0.48944,0.48302,0.29292,1.3011,1.73864,1.15271,9.01e-05,9.01e-05,9.01e-05
17,3765.35,1.46608,1.97697,1.4548,0.56851,0.46978,0.48699,0.29493,1.30199,1.70719,1.15054,8.944e-05,8.944e-05,8.944e-05
18,3969.99,1.46547,1.98286,1.46317,0.57628,0.46644,0.48776,0.30015,1.29069,1.6878,1.14271,8.878e-05,8.878e-05,8.878e-05
19,4173.6,1.47415,1.97102,1.46405,0.57468,0.4731,0.49118,0.29263,1.34631,1.71065,1.17173,8.812e-05,8.812e-05,8.812e-05
20,4382.49,1.46385,1.95609,1.45606,0.57397,0.4755,0.49806,0.30211,1.29149,1.68926,1.14546,8.746e-05,8.746e-05,8.746e-05
21,4588.42,1.45949,1.96188,1.45581,0.56925,0.48014,0.48623,0.28991,1.33233,1.49098,1.15804,8.68e-05,8.68e-05,8.68e-05
22,4787.16,1.4597,1.92903,1.4471,0.58388,0.46295,0.49214,0.29735,1.31035,1.56691,1.14778,8.614e-05,8.614e-05,8.614e-05
23,4977.77,1.44724,1.91536,1.44018,0.5929,0.46351,0.49603,0.30073,1.29152,1.61891,1.14285,8.548e-05,8.548e-05,8.548e-05
24,5169.18,1.45563,1.93068,1.43944,0.56039,0.49146,0.4934,0.30335,1.29046,1.43731,1.14317,8.482e-05,8.482e-05,8.482e-05
25,5361.78,1.44468,1.90377,1.43618,0.56825,0.48275,0.49163,0.29383,1.32513,1.5697,1.15686,8.416e-05,8.416e-05,8.416e-05
26,5554.72,1.43653,1.88399,1.43327,0.57843,0.47449,0.49822,0.30145,1.31357,1.49213,1.15012,8.35e-05,8.35e-05,8.35e-05
27,5747.01,1.44157,1.88955,1.43407,0.58741,0.48702,0.50285,0.30334,1.30849,1.58954,1.1572,8.284e-05,8.284e-05,8.284e-05
28,5941.85,1.44595,1.89496,1.44313,0.57052,0.48764,0.49685,0.29901,1.32139,1.57583,1.15537,8.218e-05,8.218e-05,8.218e-05
29,6131.43,1.44108,1.89255,1.43619,0.56574,0.47458,0.49004,0.29435,1.33338,1.50519,1.15396,8.152e-05,8.152e-05,8.152e-05
30,6324.32,1.43169,1.88557,1.42532,0.56506,0.48749,0.49092,0.29531,1.28585,1.51975,1.13971,8.086e-05,8.086e-05,8.086e-05
31,6518.61,1.44047,1.87282,1.43402,0.57178,0.4832,0.49287,0.30169,1.29888,1.52068,1.14065,8.02e-05,8.02e-05,8.02e-05
32,6713.46,1.43312,1.83843,1.42156,0.56767,0.48097,0.49846,0.29889,1.31656,1.47642,1.14677,7.954e-05,7.954e-05,7.954e-05
33,6906.76,1.43517,1.88782,1.42985,0.56679,0.48281,0.49398,0.30472,1.28855,1.46408,1.13188,7.888e-05,7.888e-05,7.888e-05
34,7103.5,1.44366,1.86788,1.43355,0.553,0.4902,0.49627,0.30179,1.27358,1.44815,1.13617,7.822e-05,7.822e-05,7.822e-05
35,7300.78,1.43463,1.8562,1.43247,0.58586,0.48075,0.49726,0.29983,1.30834,1.44738,1.14266,7.756e-05,7.756e-05,7.756e-05
36,7497.99,1.42421,1.85301,1.42536,0.57489,0.49231,0.50743,0.3011,1.343,1.49334,1.15733,7.69e-05,7.69e-05,7.69e-05
37,7696.56,1.42968,1.85068,1.4175,0.5915,0.48243,0.51278,0.31182,1.29342,1.42483,1.13186,7.624e-05,7.624e-05,7.624e-05
38,7898.99,1.42958,1.84305,1.42309,0.59563,0.47965,0.50591,0.30321,1.312,1.50604,1.14733,7.558e-05,7.558e-05,7.558e-05
39,8100.05,1.42947,1.85509,1.42068,0.60966,0.47474,0.51023,0.30981,1.30172,1.48237,1.13592,7.492e-05,7.492e-05,7.492e-05
40,8301.04,1.41595,1.82447,1.41236,0.58505,0.49386,0.50572,0.31049,1.29827,1.40175,1.13646,7.426e-05,7.426e-05,7.426e-05
41,8501.97,1.42006,1.81022,1.41379,0.56646,0.50016,0.51026,0.30422,1.30809,1.44266,1.13992,7.36e-05,7.36e-05,7.36e-05
42,8707.34,1.42128,1.82271,1.41446,0.59767,0.48241,0.50505,0.30631,1.29906,1.41058,1.13131,7.294e-05,7.294e-05,7.294e-05
43,8913.77,1.41966,1.83298,1.41073,0.59639,0.48191,0.50603,0.30988,1.32283,1.40338,1.14663,7.228e-05,7.228e-05,7.228e-05
44,9119.5,1.41463,1.82178,1.40579,0.57497,0.48099,0.50781,0.30874,1.29878,1.39771,1.13456,7.162e-05,7.162e-05,7.162e-05
45,9324.13,1.41833,1.79726,1.40771,0.56922,0.49644,0.5063,0.30597,1.30519,1.45088,1.14071,7.096e-05,7.096e-05,7.096e-05
46,9529.88,1.41282,1.81537,1.40442,0.59855,0.48618,0.50976,0.31124,1.30657,1.4306,1.13343,7.03e-05,7.03e-05,7.03e-05
47,9722.68,1.41188,1.79241,1.41018,0.60499,0.48064,0.51008,0.316,1.26166,1.38008,1.11213,6.964e-05,6.964e-05,6.964e-05
48,9919.63,1.41196,1.78652,1.40008,0.60086,0.48361,0.51267,0.31415,1.29759,1.3984,1.12605,6.898e-05,6.898e-05,6.898e-05
49,10110,1.42686,1.79398,1.40597,0.59564,0.47678,0.50933,0.30955,1.31682,1.4072,1.13157,6.832e-05,6.832e-05,6.832e-05
50,10301.7,1.40107,1.76711,1.39347,0.61855,0.47105,0.50895,0.31177,1.30008,1.38085,1.12497,6.766e-05,6.766e-05,6.766e-05
51,10493.9,1.41246,1.79321,1.40306,0.59291,0.48092,0.51038,0.31543,1.28769,1.37101,1.12178,6.7e-05,6.7e-05,6.7e-05
52,10687.8,1.40444,1.77386,1.3961,0.63015,0.47826,0.51728,0.31614,1.30541,1.37073,1.12875,6.634e-05,6.634e-05,6.634e-05
53,10880.9,1.40015,1.76473,1.39177,0.59195,0.49312,0.51328,0.31515,1.29139,1.36209,1.12608,6.568e-05,6.568e-05,6.568e-05
54,11074.2,1.39216,1.76637,1.39305,0.60413,0.4944,0.52354,0.31903,1.30297,1.36261,1.12655,6.502e-05,6.502e-05,6.502e-05
55,11268.3,1.40748,1.79409,1.39998,0.59425,0.49649,0.51884,0.31889,1.29589,1.41208,1.12256,6.436e-05,6.436e-05,6.436e-05
56,11461.3,1.41407,1.78512,1.4051,0.59105,0.50002,0.51618,0.31505,1.32417,1.37901,1.13059,6.37e-05,6.37e-05,6.37e-05
57,11657.7,1.41269,1.77956,1.40345,0.59873,0.49463,0.51873,0.31293,1.31203,1.36024,1.12808,6.304e-05,6.304e-05,6.304e-05
58,11852.5,1.39751,1.7575,1.39633,0.60022,0.48937,0.51771,0.31518,1.30467,1.39529,1.13019,6.238e-05,6.238e-05,6.238e-05
59,12048.8,1.39009,1.74192,1.38834,0.62512,0.48588,0.51967,0.31413,1.31029,1.38535,1.1281,6.172e-05,6.172e-05,6.172e-05
60,12246.6,1.40274,1.75139,1.39228,0.60813,0.49517,0.51935,0.31652,1.30353,1.34206,1.12508,6.106e-05,6.106e-05,6.106e-05
61,12445.6,1.40901,1.76082,1.38953,0.59355,0.50572,0.52395,0.32126,1.30435,1.34441,1.12728,6.04e-05,6.04e-05,6.04e-05
62,12646.8,1.39789,1.7553,1.39414,0.60497,0.49559,0.52133,0.31974,1.29602,1.36762,1.12759,5.974e-05,5.974e-05,5.974e-05
63,12846.3,1.38819,1.72836,1.38324,0.6038,0.49611,0.51427,0.31431,1.29413,1.3628,1.12823,5.908e-05,5.908e-05,5.908e-05
64,13048.8,1.40253,1.75482,1.39779,0.60664,0.48864,0.51828,0.31959,1.29532,1.35057,1.12611,5.842e-05,5.842e-05,5.842e-05
65,13250,1.39335,1.7488,1.38468,0.61554,0.48601,0.5171,0.31483,1.29916,1.34371,1.12763,5.776e-05,5.776e-05,5.776e-05
66,13455.5,1.39102,1.73732,1.38146,0.63409,0.4725,0.51582,0.31394,1.2943,1.35566,1.12388,5.71e-05,5.71e-05,5.71e-05
67,13661.7,1.38851,1.74185,1.38299,0.61471,0.48678,0.52023,0.31833,1.29034,1.34168,1.1192,5.644e-05,5.644e-05,5.644e-05
68,13866.8,1.38958,1.73311,1.38997,0.59703,0.49418,0.5195,0.31941,1.28544,1.3254,1.12018,5.578e-05,5.578e-05,5.578e-05
69,14072.8,1.39473,1.72888,1.38479,0.60705,0.4871,0.5171,0.31691,1.28554,1.32856,1.11829,5.512e-05,5.512e-05,5.512e-05
70,14280.5,1.3818,1.72823,1.38178,0.59514,0.49628,0.51785,0.3164,1.29953,1.32653,1.12272,5.446e-05,5.446e-05,5.446e-05
71,14480.1,1.38391,1.73071,1.38362,0.63202,0.4832,0.52027,0.31741,1.29236,1.30001,1.12446,5.38e-05,5.38e-05,5.38e-05
72,14674.4,1.38211,1.72386,1.38137,0.64033,0.46757,0.51753,0.3158,1.30363,1.33503,1.12516,5.314e-05,5.314e-05,5.314e-05
73,14867.3,1.37428,1.70395,1.37352,0.61595,0.48083,0.51883,0.31516,1.3137,1.3253,1.13011,5.248e-05,5.248e-05,5.248e-05
74,15061.1,1.38306,1.70592,1.37665,0.61744,0.48129,0.5184,0.31383,1.30738,1.33157,1.1302,5.182e-05,5.182e-05,5.182e-05
75,15253.8,1.38422,1.72944,1.3821,0.59915,0.49156,0.51618,0.3148,1.30006,1.32385,1.12651,5.116e-05,5.116e-05,5.116e-05
76,15446.5,1.38902,1.73173,1.3781,0.61551,0.48403,0.51846,0.31782,1.30135,1.31138,1.12706,5.05e-05,5.05e-05,5.05e-05
77,15637.3,1.36426,1.68258,1.36161,0.60773,0.48716,0.51843,0.31776,1.29364,1.32148,1.12267,4.984e-05,4.984e-05,4.984e-05
78,15829,1.38029,1.72004,1.3711,0.62297,0.48369,0.52012,0.32179,1.28691,1.31543,1.11733,4.918e-05,4.918e-05,4.918e-05
79,16022.2,1.3838,1.6978,1.37363,0.63791,0.48156,0.52182,0.32257,1.2969,1.29853,1.12057,4.852e-05,4.852e-05,4.852e-05
80,16217.7,1.37011,1.70564,1.36763,0.62321,0.48678,0.5227,0.32344,1.28654,1.30827,1.11205,4.786e-05,4.786e-05,4.786e-05
81,16412.7,1.37868,1.71134,1.36838,0.64831,0.47216,0.52666,0.32399,1.29122,1.28717,1.11614,4.72e-05,4.72e-05,4.72e-05
82,16607.5,1.38166,1.71292,1.37727,0.63596,0.47912,0.52473,0.32127,1.30177,1.30269,1.11805,4.654e-05,4.654e-05,4.654e-05
83,16803.9,1.37518,1.70886,1.37543,0.61783,0.49022,0.52373,0.32226,1.2978,1.28891,1.12082,4.588e-05,4.588e-05,4.588e-05
84,17001.8,1.37284,1.67976,1.36608,0.64032,0.47427,0.52222,0.32012,1.29083,1.29184,1.11909,4.522e-05,4.522e-05,4.522e-05
85,17201.4,1.36217,1.68274,1.36305,0.62504,0.48412,0.52469,0.32162,1.29133,1.28608,1.11891,4.456e-05,4.456e-05,4.456e-05
86,17400.7,1.36041,1.68907,1.36793,0.61248,0.49057,0.52528,0.32188,1.28822,1.27966,1.11543,4.39e-05,4.39e-05,4.39e-05
87,17598.9,1.36717,1.69614,1.36758,0.63073,0.48815,0.52347,0.32016,1.29319,1.28129,1.11861,4.324e-05,4.324e-05,4.324e-05
88,17801.4,1.37354,1.67849,1.3648,0.62955,0.49295,0.52613,0.32174,1.29227,1.29189,1.11745,4.258e-05,4.258e-05,4.258e-05
89,18004.6,1.36521,1.68648,1.36842,0.6145,0.4996,0.52836,0.32219,1.2957,1.26902,1.11853,4.192e-05,4.192e-05,4.192e-05
90,18207.9,1.37091,1.69426,1.36893,0.61892,0.49471,0.52332,0.31959,1.29789,1.26778,1.11944,4.126e-05,4.126e-05,4.126e-05
91,18413,1.36682,1.68538,1.36352,0.61855,0.49541,0.52364,0.31955,1.30058,1.27541,1.12082,4.06e-05,4.06e-05,4.06e-05
92,18616.1,1.36565,1.67004,1.36273,0.60332,0.49768,0.5221,0.31849,1.30029,1.28346,1.11936,3.994e-05,3.994e-05,3.994e-05
93,18827.1,1.36369,1.67321,1.36056,0.59386,0.50023,0.52139,0.31905,1.29627,1.27859,1.11965,3.928e-05,3.928e-05,3.928e-05
94,19020.6,1.36002,1.64153,1.35437,0.59964,0.49741,0.51921,0.31806,1.29511,1.28344,1.11906,3.862e-05,3.862e-05,3.862e-05
95,19214.3,1.36113,1.67029,1.35768,0.6016,0.4954,0.51971,0.31734,1.30416,1.28449,1.12263,3.796e-05,3.796e-05,3.796e-05
96,19408,1.35767,1.67033,1.35859,0.59942,0.49287,0.51882,0.31777,1.29822,1.2735,1.11831,3.73e-05,3.73e-05,3.73e-05
97,19600.2,1.36557,1.67796,1.35965,0.59964,0.49467,0.51797,0.3148,1.30231,1.28086,1.11813,3.664e-05,3.664e-05,3.664e-05
98,19795.3,1.35208,1.65434,1.35284,0.60128,0.49243,0.51681,0.31379,1.30482,1.27876,1.11888,3.598e-05,3.598e-05,3.598e-05
99,19989.7,1.35748,1.65684,1.35359,0.60651,0.48963,0.5169,0.31373,1.29824,1.27545,1.11676,3.532e-05,3.532e-05,3.532e-05
100,20183.4,1.36361,1.65749,1.35802,0.612,0.49178,0.51586,0.31398,1.2918,1.27619,1.11436,3.466e-05,3.466e-05,3.466e-05
101,20378.8,1.35125,1.65892,1.35503,0.62393,0.48754,0.51658,0.31557,1.28845,1.27054,1.11352,3.4e-05,3.4e-05,3.4e-05
